RECORDID,EXTERNALID
R24665991,843617
R24665992,843618
R24665993,843619
R24665994,843620
R24665995,843621
R24665996,843622
R24665997,843623
R24665998,843624
R24665999,843625
R24666000,843626
R24666001,843627
R24666002,843628
R24666003,843629
R24666004,843630
R24666005,843631
R24666006,843632
R24666007,843633
R24666008,843634
R24666009,843635
R24666010,843636
R24666011,843637
R24666012,843638
R24666013,843639
R24666014,843640
R24666015,843641
R24666016,843642
R24666017,843643
R24666018,843644
R24666019,843645
R24666020,843646
R24666021,843647
R24666022,843648
R24666023,843649
R24666024,843650
R24666025,843651
R24666026,843652
R24666027,843653
R24666028,843654
R24666029,843655
R24666030,843656
R24666031,843657
R24666032,843658
R24666033,843659
R24666034,843660
R24666035,843661
R24666036,843662
R24666037,843663
R24666038,843664
R24666039,843665
R24666040,843666
R24666041,843667
R24666042,843668
R24666043,843669
R24666044,843670
R24666045,843671
R24666046,843672
R24666047,843673
R24666048,843674
R24666049,843675
R24666050,843676
R24666051,843677
R24666052,843678
R24666053,843679
R24666054,843680
R24666055,843681
R24666056,843682
R24666057,843683
R24666058,843684
R24666059,843685
R24666060,843686
R24666061,843687
R24666062,843688
R24666063,843689
R24666064,843690
R24666065,843691
R24666066,843692
R24666067,843693
R24666068,843694
R24666069,843695
R24666070,843696
R24666071,843697
R24666072,843698
R24666073,843699
R24666074,843700
R24666075,843701
R24666076,843702
R24666077,843703
R24666078,843704
R24666079,843705
R24666080,843706
R24666081,843707
R24666082,843708
R24666083,843709
R24666084,843710
R24666085,843711
R24666086,843712
R24666087,843713
R24666088,843714
R24666089,843715
R24666090,843716
R24666091,843717
R24666092,843718
R24666093,843719
R24666094,843720
R24666095,843721
R24666096,843722
R24666097,843723
R24666098,843724
R24666099,843725
R24666100,843726
R24666101,843727
R24666102,843728
R24666103,843729
R24666104,843730
R24666105,843731
R24666106,843732
R24666107,843733
R24666108,843734
R24666109,843735
R24666110,843736
R24666111,843737
R24666112,843738
R24666113,843739
R24666114,843740
R24666115,843741
R24666116,843742
R24666117,843743
R24666118,843744
R24666119,843745
R24666120,843746
R24666121,843747
R24666122,843748
R24666123,843749
